115,TOTAL SEVEN MAJOR FELONY OFFENSES,1760
120,MURDER & NON NEGL. MANSLAUGHTER                                ,4
120,RAPE                                  ,31
120,ROBBERY                               ,318
120,FELONY ASSAULT                        ,415
120,BURGLARY                              ,280
120,GRAND LARCENY                         ,459
120,GRAND LARCENY OF MOTOR VEHICLE                                  ,94
120,TOTAL SEVEN MAJOR FELONY OFFENSES,1601
121,MURDER & NON NEGL. MANSLAUGHTER                                ,1
121,RAPE                                  ,9
121,ROBBERY                               ,99
121,FELONY ASSAULT                        ,97
121,BURGLARY                              ,99
121,GRAND LARCENY                         ,215
121,GRAND LARCENY OF MOTOR VEHICLE                                  ,28
121,TOTAL SEVEN MAJOR FELONY OFFENSES,548
122,MURDER & NON NEGL. MANSLAUGHTER                                ,2
122,RAPE                                  ,12
122,ROBBERY                               ,82
122,FELONY ASSAULT                        ,102
122,BURGLARY                              ,215
122,GRAND LARCENY                         ,404
122,GRAND LARCENY OF MOTOR VEHICLE                                  ,62
122,TOTAL SEVEN MAJOR FELONY OFFENSES,879
123,MURDER & NON NEGL. MANSLAUGHTER                                ,0
123,RAPE                                  ,5
123,ROBBERY                               ,23
123,FELONY ASSAULT                        ,47
123,BURGLARY                              ,92
123,GRAND LARCENY                         ,171
123,GRAND LARCENY OF MOTOR VEHICLE                                  ,40
123,TOTAL SEVEN MAJOR FELONY OFFENSES,378
